state,pollster,n,mode,population,start.date,end.date,democratic_candidate,republican_candidate,undecided,other,partisan,two_party_sum,polltype,n_respondents,n_democratic_candidate,pct_democratic_candidate,n_republican_candidate,pct_republican_candidate,n_other,p_other
--,McClatchy,940,Live Phone,Likely Voters,2016-11-01,2016-11-03,46,44,2,8,Nonpartisan,90,0,940,432,0.5111111111111111,414,0.4888888888888889,75,0.08
--,McClatchy,NA,Live Phone,Likely Voters - Democrat,2016-11-01,2016-11-03,90,7,0,3,Nonpartisan,97,NA,NA,NA,0.9278350515463918,NA,0.07216494845360824,NA,0.03
--,McClatchy,NA,Live Phone,Likely Voters - Republican,2016-11-01,2016-11-03,3,92,1,3,Nonpartisan,95,NA,NA,NA,0.031578947368421054,NA,0.968421052631579,NA,0.03
--,McClatchy,NA,Live Phone,Likely Voters - independent,2016-11-01,2016-11-03,38,41,4,17,Nonpartisan,79,NA,NA,NA,0.4810126582278481,NA,0.5189873417721519,NA,0.17
--,McClatchy,940,Live Phone,Likely Voters,2016-11-01,2016-11-03,44,43,2,5,Nonpartisan,87,0,940,414,0.5057471264367817,404,0.4942528735632184,47,0.05
--,McClatchy,NA,Live Phone,Likely Voters - Democrat,2016-11-01,2016-11-03,89,7,0,1,Nonpartisan,96,NA,NA,NA,0.9270833333333334,NA,0.07291666666666667,NA,0.01
--,McClatchy,NA,Live Phone,Likely Voters - Republican,2016-11-01,2016-11-03,2,92,1,1,Nonpartisan,94,NA,NA,NA,0.02127659574468085,NA,0.9787234042553191,NA,0.01
--,McClatchy,NA,Live Phone,Likely Voters - independent,2016-11-01,2016-11-03,33,39,5,11,Nonpartisan,72,NA,NA,NA,0.4583333333333333,NA,0.5416666666666666,NA,0.11
--,Lucid,873,Internet,Likely Voters,2016-11-01,2016-11-03,44,39,10,2,Nonpartisan,83,0,873,384,0.5301204819277109,340,0.46987951807228917,17,0.02
--,IBD,898,Live Phone,Likely Voters,2016-10-30,2016-11-03,44,44,5,4,Nonpartisan,88,0,898,395,0.5,395,0.5,36,0.04
--,ABC,1151,Live Phone,Likely Voters,2016-10-30,2016-11-02,47,44,2,4,Nonpartisan,91,0,1151,541,0.5164835164835165,506,0.4835164835164835,46,0.04
--,YouGov,1233,Internet,Likely Voters,2016-10-30,2016-11-01,46,43,4,4,Nonpartisan,89,0,1233,567,0.5168539325842697,530,0.48314606741573035,49,0.04
--,YouGov,523,Internet,Likely Voters - Democrat,2016-10-30,2016-11-01,90,5,3,2,Nonpartisan,95,NA,523,471,0.9473684210526315,26,0.05263157894736842,10,0.02
--,YouGov,268,Internet,Likely Voters - Republican,2016-10-30,2016-11-01,5,89,1,3,Nonpartisan,94,NA,268,13,0.05319148936170213,239,0.9468085106382979,8,0.03
--,YouGov,442,Internet,Likely Voters - independent,2016-10-30,2016-11-01,28,51,7,5,Nonpartisan,79,NA,442,124,0.35443037974683544,225,0.6455696202531646,22,0.05
--,Rasmussen,1500,IVR/Online,Likely Voters,2016-10-30,2016-11-01,44,44,4,4,Nonpartisan,88,0,1500,660,0.5,660,0.5,60,0.04
--,CBS,1333,Live Phone,Likely Voters,2016-10-28,2016-11-01,47,44,5,5,Nonpartisan,91,0,1333,627,0.5164835164835165,587,0.4835164835164835,67,0.05
--,CBS,NA,Live Phone,Likely Voters - Democrat,2016-10-28,2016-11-01,87,8,3,1,Nonpartisan,95,NA,NA,NA,0.9157894736842105,NA,0.08421052631578947,NA,0.01
--,CBS,NA,Live Phone,Likely Voters - Republican,2016-10-28,2016-11-01,8,83,5,5,Nonpartisan,91,NA,NA,NA,0.08791208791208792,NA,0.9120879120879121,NA,0.05
--,CBS,NA,Live Phone,Likely Voters - independent,2016-10-28,2016-11-01,39,46,6,9,Nonpartisan,85,NA,NA,NA,0.4588235294117647,NA,0.5411764705882353,NA,0.09
--,CBS,NA,Live Phone,Likely Voters,2016-10-28,2016-11-01,45,42,4,5,Nonpartisan,87,0,NA,NA,0.5172413793103449,NA,0.4827586206896552,NA,0.05
--,CBS,NA,Live Phone,Likely Voters - Democrat,2016-10-28,2016-11-01,83,7,4,3,Nonpartisan,90,NA,NA,NA,0.9222222222222223,NA,0.07777777777777778,NA,0.03
--,CBS,NA,Live Phone,Likely Voters - Republican,2016-10-28,2016-11-01,7,81,4,4,Nonpartisan,88,NA,NA,NA,0.07954545454545454,NA,0.9204545454545454,NA,0.04
--,CBS,NA,Live Phone,Likely Voters - independent,2016-10-28,2016-11-01,38,42,4,8,Nonpartisan,80,NA,NA,NA,0.475,NA,0.525,NA,0.08
--,Gravis Marketing,5360,IVR/Online,Registered Voters,2016-10-31,2016-10-31,50,50,0,0,Sponsor,100,1,5360,2680,0.5,2680,0.5,0,0
--,Gravis Marketing,5360,IVR/Online,Registered Voters,2016-10-31,2016-10-31,46,45,3,2,Sponsor,91,1,5360,2466,0.5054945054945055,2412,0.4945054945054945,107,0.02
--,Lucid,866,Internet,Likely Voters,2016-10-29,2016-10-31,42,40,10,2,Nonpartisan,82,0,866,364,0.5121951219512195,346,0.4878048780487805,17,0.02
--,Politico,1772,Internet,Likely Voters,2016-10-29,2016-10-30,46,43,11,0,Nonpartisan,89,0,1772,815,0.5168539325842697,762,0.48314606741573035,0,0
--,Politico,661,Internet,Likely Voters - Democrat,2016-10-29,2016-10-30,88,6,6,0,Nonpartisan,94,NA,661,582,0.9361702127659575,40,0.06382978723404255,0,0
--,Politico,601,Internet,Likely Voters - Republican,2016-10-29,2016-10-30,8,86,6,0,Nonpartisan,94,NA,601,48,0.0851063829787234,517,0.9148936170212766,0,0
--,Politico,510,Internet,Likely Voters - independent,2016-10-29,2016-10-30,38,39,23,0,Nonpartisan,77,NA,510,194,0.4935064935064935,199,0.5064935064935064,0,0
--,Politico,1772,Internet,Likely Voters,2016-10-29,2016-10-30,42,39,6,5,Nonpartisan,81,0,1772,744,0.5185185185185185,691,0.48148148148148145,89,0.05
--,Politico,661,Internet,Likely Voters - Democrat,2016-10-29,2016-10-30,81,5,4,5,Nonpartisan,86,NA,661,535,0.9418604651162791,33,0.05813953488372093,33,0.05
--,Politico,601,Internet,Likely Voters - Republican,2016-10-29,2016-10-30,6,82,5,3,Nonpartisan,88,NA,601,36,0.06818181818181818,493,0.9318181818181818,18,0.03
--,Politico,510,Internet,Likely Voters - independent,2016-10-29,2016-10-30,33,32,12,8,Nonpartisan,65,NA,510,168,0.5076923076923077,163,0.49230769230769234,41,0.08
--,Politico,1249,Live Phone,Likely Voters,2016-10-27,2016-10-30,52,47,1,0,Nonpartisan,99,0,1249,649,0.5252525252525253,587,0.47474747474747475,0,0
--,UPI,1299,Internet,Likely Voters,2016-10-24,2016-10-30,49,48,0,3,Nonpartisan,97,0,1299,637,0.5051546391752577,624,0.4948453608247423,39,0.03
--,NBC,40816,Internet,Likely Voters,2016-10-24,2016-10-30,51,44,5,0,Nonpartisan,95,0,40816,20816,0.5368421052631579,17959,0.4631578947368421,0,0
--,NBC,40816,Internet,Likely Voters,2016-10-24,2016-10-30,47,41,2,3,Nonpartisan,88,0,40816,19184,0.5340909090909091,16735,0.4659090909090909,1224,0.03
--,ABC,1695,Live Phone,Likely Voters,2016-10-26,2016-10-29,46,45,2,4,Nonpartisan,91,0,1695,780,0.5054945054945055,763,0.4945054945054945,68,0.04
--,IBD,1039,Live Phone,Likely Voters,2016-10-24,2016-10-29,44,42,4,4,Nonpartisan,86,0,1039,457,0.5116279069767442,436,0.4883720930232558,42,0.04
--,Lucid,865,Internet,Likely Voters,2016-10-26,2016-10-28,43,40,8,3,Nonpartisan,83,0,865,372,0.5180722891566265,346,0.4819277108433735,26,0.03
--,Rasmussen,1500,IVR/Online,Likely Voters,2016-10-25,2016-10-27,45,45,2,4,Nonpartisan,90,0,1500,675,0.5,675,0.5,60,0.04
--,Saint Leo University,1050,Internet,Likely Voters,2016-10-22,2016-10-26,45,34,12,2,Nonpartisan,79,0,1050,472,0.569620253164557,357,0.43037974683544306,21,0.02
--,YouGov,1209,Internet,Likely Voters,2016-10-22,2016-10-26,46,41,7,3,Nonpartisan,87,0,1209,556,0.5287356321839081,496,0.47126436781609193,36,0.03
--,YouGov,501,Internet,Likely Voters - Democrat,2016-10-22,2016-10-26,91,4,3,1,Nonpartisan,95,NA,501,456,0.9578947368421052,20,0.042105263157894736,5,0.01
--,YouGov,305,Internet,Likely Voters - Republican,2016-10-22,2016-10-26,7,82,6,2,Nonpartisan,89,NA,305,21,0.07865168539325842,250,0.9213483146067416,6,0.02
--,YouGov,403,Internet,Likely Voters - independent,2016-10-22,2016-10-26,31,45,11,5,Nonpartisan,76,NA,403,125,0.40789473684210525,181,0.5921052631578947,20,0.05
--,Lucid,875,Internet,Likely Voters,2016-10-23,2016-10-25,43,39,10,2,Nonpartisan,82,0,875,376,0.524390243902439,341,0.47560975609756095,18,0.02
--,ABC,1135,Live Phone,Likely Voters,2016-10-22,2016-10-25,48,42,3,1,Nonpartisan,90,0,1135,545,0.5333333333333333,477,0.4666666666666667,11,0.01
--,FOX,1221,Live Phone,Likely Voters,2016-10-22,2016-10-25,44,41,4,4,Nonpartisan,85,0,1221,537,0.5176470588235295,501,0.4823529411764706,49,0.04
--,FOX,NA,Live Phone,Likely Voters - Democrat,2016-10-22,2016-10-25,83,8,4,4,Nonpartisan,91,NA,NA,NA,0.9120879120879121,NA,0.08791208791208792,NA,0.04
--,FOX,NA,Live Phone,Likely Voters - Republican,2016-10-22,2016-10-25,6,81,4,3,Nonpartisan,87,NA,NA,NA,0.06896551724137931,NA,0.9310344827586207,NA,0.03
--,FOX,NA,Live Phone,Likely Voters - independent,2016-10-22,2016-10-25,28,41,7,9,Nonpartisan,69,NA,NA,NA,0.4057971014492754,NA,0.5942028985507246,NA,0.09
--,Pew,2120,Live Phone,Registered Voters,2016-10-20,2016-10-25,46,40,4,5,Nonpartisan,86,1,2120,975,0.5348837209302325,848,0.46511627906976744,106,0.05
--,CNBC,NA,Live Phone,Likely Voters,2016-10-21,2016-10-24,43,34,10,6,Nonpartisan,77,0,NA,NA,0.5584415584415584,NA,0.44155844155844154,NA,0.06
--,ABC,1119,Live Phone,Likely Voters,2016-10-21,2016-10-24,49,40,2,4,Nonpartisan,89,0,1119,548,0.550561797752809,448,0.449438202247191,45,0.04
--,GQR,900,Live Phone,Likely Voters,2016-10-21,2016-10-24,50,38,3,2,Sponsor,88,0,900,450,0.5681818181818182,342,0.4318181818181818,18,0.02
--,AP,1212,Internet,Likely Voters,2016-10-20,2016-10-24,51,37,4,2,Nonpartisan,88,0,1212,618,0.5795454545454546,448,0.42045454545454547,24,0.02
--,Suffolk,1000,Live Phone,Likely Voters,2016-10-20,2016-10-24,49,39,12,0,Nonpartisan,88,0,1000,490,0.5568181818181818,390,0.4431818181818182,0,0
--,Suffolk,382,Live Phone,Likely Voters - Democrat,2016-10-20,2016-10-24,92,3,5,0,Nonpartisan,95,NA,382,351,0.968421052631579,11,0.031578947368421054,0,0
--,Suffolk,322,Live Phone,Likely Voters - Republican,2016-10-20,2016-10-24,8,83,9,0,Nonpartisan,91,NA,322,26,0.08791208791208792,267,0.9120879120879121,0,0
--,Suffolk,280,Live Phone,Likely Voters - independent,2016-10-20,2016-10-24,39,38,23,0,Nonpartisan,77,NA,280,109,0.5064935064935064,106,0.4935064935064935,0,0
--,Suffolk,1000,Live Phone,Likely Voters,2016-10-20,2016-10-24,47,38,9,2,Nonpartisan,85,0,1000,470,0.5529411764705883,380,0.4470588235294118,20,0.02
--,Suffolk,382,Live Phone,Likely Voters - Democrat,2016-10-20,2016-10-24,89,4,4,2,Nonpartisan,93,NA,382,340,0.956989247311828,15,0.043010752688172046,8,0.02
--,Suffolk,322,Live Phone,Likely Voters - Republican,2016-10-20,2016-10-24,8,80,7,2,Nonpartisan,88,NA,322,26,0.09090909090909091,258,0.9090909090909091,6,0.02
--,Suffolk,280,Live Phone,Likely Voters - independent,2016-10-20,2016-10-24,36,35,17,3,Nonpartisan,71,NA,280,101,0.5070422535211268,98,0.49295774647887325,8,0.03
--,Ipsos,1170,Internet,Likely Voters,2016-10-20,2016-10-24,43,37,10,10,Nonpartisan,80,0,1170,503,0.5375,433,0.4625,117,0.1
--,Ipsos,NA,Internet,Likely Voters - Democrat,2016-10-20,2016-10-24,83,7,6,5,Nonpartisan,90,NA,NA,NA,0.9222222222222223,NA,0.07777777777777778,NA,0.05
--,Ipsos,NA,Internet,Likely Voters - Republican,2016-10-20,2016-10-24,6,74,9,10,Nonpartisan,80,NA,NA,NA,0.075,NA,0.925,NA,0.1
--,Ipsos,NA,Internet,Likely Voters - independent,2016-10-20,2016-10-24,28,25,16,32,Nonpartisan,53,NA,NA,NA,0.5283018867924528,NA,0.4716981132075472,NA,0.32
--,Ipsos,1170,Internet,Likely Voters,2016-10-20,2016-10-24,42,38,6,6,Nonpartisan,80,0,1170,491,0.525,445,0.475,70,0.06
--,Ipsos,NA,Internet,Likely Voters - Democrat,2016-10-20,2016-10-24,81,7,4,4,Nonpartisan,88,NA,NA,NA,0.9204545454545454,NA,0.07954545454545454,NA,0.04
--,Ipsos,NA,Internet,Likely Voters - Republican,2016-10-20,2016-10-24,7,76,5,6,Nonpartisan,83,NA,NA,NA,0.08433734939759036,NA,0.9156626506024096,NA,0.06
--,Ipsos,NA,Internet,Likely Voters - independent,2016-10-20,2016-10-24,27,28,8,18,Nonpartisan,55,NA,NA,NA,0.4909090909090909,NA,0.509090909090909,NA,0.18
--,Rasmussen,1500,IVR/Online,Likely Voters,2016-10-20,2016-10-24,43,42,5,5,Nonpartisan,85,0,1500,645,0.5058823529411764,630,0.49411764705882355,75,0.05
--,CNN,779,Live Phone,Likely Voters,2016-10-20,2016-10-23,49,44,2,2,Nonpartisan,93,0,779,382,0.5268817204301075,343,0.4731182795698925,16,0.02
--,CNN,NA,Live Phone,Likely Voters - Democrat,2016-10-20,2016-10-23,91,6,2,1,Nonpartisan,97,NA,NA,NA,0.9381443298969072,NA,0.061855670103092786,NA,0.01
--,CNN,NA,Live Phone,Likely Voters - Republican,2016-10-20,2016-10-23,6,90,0,1,Nonpartisan,96,NA,NA,NA,0.0625,NA,0.9375,NA,0.01
--,CNN,NA,Live Phone,Likely Voters - independent,2016-10-20,2016-10-23,41,45,3,3,Nonpartisan,86,NA,NA,NA,0.47674418604651164,NA,0.5232558139534884,NA,0.03
--,Centre College,569,Live Phone,Likely Voters,2016-10-18,2016-10-23,45,40,0,9,Nonpartisan,85,0,569,256,0.5294117647058824,228,0.47058823529411764,51,0.09
--,IBD,815,Live Phone,Likely Voters,2016-10-18,2016-10-23,41,41,4,6,Nonpartisan,82,0,815,334,0.5,334,0.5,49,0.06
--,NBC,32225,Internet,Likely Voters,2016-10-17,2016-10-23,50,44,5,0,Nonpartisan,94,0,32225,16112,0.5319148936170213,14179,0.46808510638297873,0,0
--,NBC,32225,Internet,Likely Voters,2016-10-17,2016-10-23,46,41,2,3,Nonpartisan,87,0,32225,14824,0.5287356321839081,13212,0.47126436781609193,967,0.03
--,UPI,1414,Internet,Likely Voters,2016-10-17,2016-10-23,50,46,0,4,Nonpartisan,96,0,1414,707,0.5208333333333334,650,0.4791666666666667,57,0.04
--,Lucid,884,Internet,Likely Voters,2016-10-20,2016-10-22,43,37,10,2,Nonpartisan,80,0,884,380,0.5375,327,0.4625,18,0.02
--,PPP,990,IVR/Online,Likely Voters,2016-10-20,2016-10-21,46,40,9,0,Sponsor,86,0,990,455,0.5348837209302325,396,0.46511627906976744,0,0
--,PPP,NA,IVR/Online,Likely Voters - Democrat,2016-10-20,2016-10-21,81,10,5,0,Sponsor,91,NA,NA,NA,0.8901098901098901,NA,0.10989010989010989,NA,0
--,PPP,NA,IVR/Online,Likely Voters - Republican,2016-10-20,2016-10-21,11,80,6,0,Sponsor,91,NA,NA,NA,0.12087912087912088,NA,0.8791208791208791,NA,0
--,PPP,NA,IVR/Online,Likely Voters - independent,2016-10-20,2016-10-21,32,36,20,0,Sponsor,68,NA,NA,NA,0.47058823529411764,NA,0.5294117647058824,NA,0
--,Politico,1395,Internet,Likely Voters,2016-10-19,2016-10-20,46,40,16,0,Nonpartisan,86,0,1395,642,0.5348837209302325,558,0.46511627906976744,0,0
--,Politico,501,Internet,Likely Voters - Democrat,2016-10-19,2016-10-20,86,8,6,0,Nonpartisan,94,NA,501,431,0.9148936170212766,40,0.0851063829787234,0,0
--,Politico,443,Internet,Likely Voters - Republican,2016-10-19,2016-10-20,7,82,10,0,Nonpartisan,89,NA,443,31,0.07865168539325842,363,0.9213483146067416,0,0
--,Politico,450,Internet,Likely Voters - independent,2016-10-19,2016-10-20,39,33,28,0,Nonpartisan,72,NA,450,176,0.5416666666666666,148,0.4583333333333333,0,0
--,Politico,1395,Internet,Likely Voters,2016-10-19,2016-10-20,42,36,9,4,Nonpartisan,78,0,1395,586,0.5384615384615384,502,0.46153846153846156,56,0.04
--,Politico,501,Internet,Likely Voters - Democrat,2016-10-19,2016-10-20,84,8,4,2,Nonpartisan,92,NA,501,421,0.9130434782608695,40,0.08695652173913043,10,0.02
--,Politico,443,Internet,Likely Voters - Republican,2016-10-19,2016-10-20,6,78,6,2,Nonpartisan,84,NA,443,27,0.07142857142857142,346,0.9285714285714286,9,0.02
--,Politico,450,Internet,Likely Voters - independent,2016-10-19,2016-10-20,31,27,17,9,Nonpartisan,58,NA,450,140,0.5344827586206896,122,0.46551724137931033,40,0.09
--,ARG,1006,Live Phone,Likely Voters,2016-10-17,2016-10-20,49,42,4,5,Nonpartisan,91,0,1006,493,0.5384615384615384,423,0.46153846153846156,50,0.05
--,ARG,362,Live Phone,Likely Voters - Democrat,2016-10-17,2016-10-20,89,4,4,3,Nonpartisan,93,NA,362,322,0.956989247311828,14,0.043010752688172046,11,0.03
--,ARG,321,Live Phone,Likely Voters - Republican,2016-10-17,2016-10-20,10,81,5,4,Nonpartisan,91,NA,321,32,0.10989010989010989,260,0.8901098901098901,13,0.04
--,ARG,323,Live Phone,Likely Voters - independent,2016-10-17,2016-10-20,44,45,3,8,Nonpartisan,89,NA,323,142,0.4943820224719101,145,0.5056179775280899,26,0.08
--,Lucid,729,Internet,Likely Voters,2016-10-17,2016-10-19,47,35,9,2,Nonpartisan,82,0,729,343,0.573170731707317,255,0.4268292682926829,15,0.02
